titulli,foto,kompania,data_publikimit,paga,lokacioni,pershkrimi,afati
Mësuese e Matematikës,foto/Shkolla e Mesme Alpbach.jpg,Shkolla e Mesme Alpbach,2024-06-18,700,Prizren,Shkolla e Mesme Alpbach në Prishtinë kërkon mësuese të matematikës për vitin shkollor të ardhshëm.,2025-03-15
Arkitekt,foto/Design Studio Prizren.jpg,Design Studio Prizren,2024-06-20,800,Prizren,Design Studio Prizren kërkon arkitekt të përkushtuar për projekte të reja të dizajnimit dhe planifikimit urban.,2025-02-20
Inxhinier,foto/Ndertimi.webp,Ndërtimi Peja,2024-06-22,700,Pejë,Kompania Ndërtimi Peja në Pejë kërkon inxhinier për mbikëqyrje dhe implementim të projekteve të ndërtimit.,2025-03-01
IT Specialist,foto/IT Solution Gjilan.jpg,IT Solution Gjilan,2024-06-23,600,Gjilan,Kompania IT Solution Gjilan në Gjilan kërkon një IT Specialist për mirëmbajtjen dhe zhvillimin e infrastrukturës teknologjike.,2025-03-10
Kuzhinier,foto/Tradita_Kacanik.jpg,Tradita Kaçanik,2024-06-24,600,Kaçanik,Restoranti Tradita Kaçanik në Kaçanik kërkon kuzhinier me përvojë për ushqime tradicionale dhe moderne.,2025-02-15
Shofer,foto/Transporti_Ferizaj.jpg,Transport Ferizaj,2024-06-25,350,Ferizaj,Kompania Transport Ferizaj në Ferizaj kërkon shofer me kategori B për transport dhe shpërndarje.,2025-03-01
Stomatolog,foto/ordinanca.webp,SmileCare Dental,2024-03-28,1000,Kaçanik,Klinika SmileCare Dental kërkon stomatolog me përvojë për trajtime moderne dentare dhe kujdes ndaj pacientëve.,2025-01-15
Fotograf,foto/fotograf.webp,Film Studio,2024-01-17,720,Gjakovë,Studio fotografike Film Studio kërkon fotograf kreativ për realizimin e fotosesioneve dhe projekteve artistike.,2025-01-15
Kontabilist,foto/kontabilist.webp,FinancePro,2024-03-12,800,Malishevë,Kompania FinancePro kërkon kontabilist me njohuri të avancuara për përgatitjen e bilanceve financiare dhe raportimin fiskal.,2025-01-15
Zhvillues Software,foto/zhvilluess.avif,TechDev,2024-12-29,1000,Prizren,Kompania TechDev kërkon zhvillues software me njohuri të avancuara në gjuhët e programimit dhe krijimin e aplikacioneve web.,2025-02-10
Specialist Marketingu,foto/marketing.jpg,MarketPro,2024-12-29,900,Mitrovicë,Kompania MarketPro kërkon specialist marketingu me aftësi në krijimin dhe menaxhimin e fushatave reklamimi online.,2025-01-20
Avokat,foto/avokat.webp,JuridikPro,2024-12-29,1100,Fushë Kosovë,Kompania JuridikPro kërkon avokat me njohuri të thella në ligjin civil dhe penal për të ofruar shërbime juridike për klientët.,2025-01-15
